code,state,Frequency,Population
AL,Alabama,4,4863300.00
AK,Alaska,0,741894.00
AZ,Arizona,4,6931071.00
AR,Arkansas,1,2988248.00
CA,California,47,39250017.00
CO,Colorado,3,5540545.00
CT,Connecticut,6,3576452.00
DE,Delaware,0,952065.00
FL,Florida,21,20612439.00
GA,Georgia,23,10310371.00
HI,Hawaii,0,1428557.00
ID,Idaho,0,1683140.00
IL,Illinois,14,12801539.00
IN,Indiana,11,6633053.00
IA,Iowa,5,3134693.00
KS,Kansas,5,2907289.00
KY,Kentucky,3,4436974.00
LA,Louisiana,9,4681666.00
ME,Maine,1,1331479.00
MD,Maryland,24,6016447.00
MA,Massachusetts,18,6811779.00
MI,Michigan,5,9928300.00
MN,Minnesota,1,5519952.00
MS,Mississippi,2,2988726.00
MO,Missouri,6,6093000.00
MT,Montana,2,1042520.00
NE,Nebraska,2,1907116.00
NV,Nevada,3,2940058.00
NH,New Hampshire,1,1334795.00
NJ,New Jersey,13,8944469.00
NM,New Mexico,0,2081015.00
NY,New York,29,19745289.00
NC,North Carolina,9,10146788.00
ND,North Dakota,1,757952.00
OH,Ohio,24,11614373.00
OK,Oklahoma,7,3923561.00
OR,Oregon,10,4093465.00
PA,Pennsylvania,21,12784227.00
RI,Rhode Island,0,1056426.00
SC,South Carolina,2,4961119.00
SD,South Dakota,1,865454.00
TN,Tennessee,8,6651194.00
TX,Texas,46,27862596.00
UT,Utah,4,3051217.00
VT,Vermont,0,624594.00
VA,Virginia,5,8411808.00
WA,Washington,15,7288000.00
WV,West Virginia,1,1831102.00
WI,Wisconsin,5,5778708.00
WY,Wyoming,0,585501.00